nom,groupe_sigle,commission_permanente,fonction,assemblee_nationale_email
Charles de Courson,LIOT,Finances de l’économie générale et du contrôle budgétaire,Vice-président,charles.decourson@assemblee-nationale.fr
Marc Le Fur,LR,Finances de l’économie générale et du contrôle budgétaire,Membre,marc.lefur@assemblee-nationale.fr
Éric Ciotti,LR,Lois,Membre,eric.ciotti@assemblee-nationale.fr
Monique Iborra,REN,Affaires sociales,Membre,monique.iborra@assemblee-nationale.fr
Thierry Benoit,HOR,Affaires économiques,Secrétaire,thierry.benoit@assemblee-nationale.fr
Philippe Vigier,MODEM,Affaires sociales,Membre,philippe.vigier@assemblee-nationale.fr
Olivier Dussopt,REN,Lois,Membre,olivier.dussopt@assemblee-nationale.fr
Jacqueline Maquet,REN,Affaires économiques,Membre,jacqueline.maquet@assemblee-nationale.fr
Michel Herbillon,LR,Affaires étrangères,Vice-président,michel.herbillon@assemblee-nationale.fr
Michèle Tabarot,LR,Affaires étrangères,Membre,michele.tabarot@assemblee-nationale.fr
Éric Woerth,REN,Finances de l’économie générale et du contrôle budgétaire,Président,eric.woerth@assemblee-nationale.fr
Philippe Gosselin,LR,Lois,Vice-président,philippe.gosselin@assemblee-nationale.fr
Joël Giraud,REN,Finances de l’économie générale et du contrôle budgétaire,Rapporteur Général,joel.giraud@assemblee-nationale.fr
Bertrand Pancher,LIOT,Affaires culturelles et de l'éducation,Membre,bertrand.pancher@assemblee-nationale.fr
Delphine Batho,ECO,Affaires économiques,Membre,delphine.batho@assemblee-nationale.fr
Pierre Morel-À-L'Huissier,LIOT,Lois,Secrétaire,pierre.morel-a-lhuissier@assemblee-nationale.fr
Marie-Noëlle Battistel,SOC,Affaires économiques,Vice-présidente,marie-noelle.battistel@assemblee-nationale.fr
Véronique Besse,NI,,,veronique.besse@assemblee-nationale.fr
Guillaume Garot,SOC,Développement durable et aménagement du territoire,Vice-président,guillaume.garot@assemblee-nationale.fr
Yannick Favennec-Bécot,HOR,Défense nationale et forces armées,Membre,yannick.favennec@assemblee-nationale.fr
André Chassaigne,GDR,Défense nationale et forces armées,Membre,andre.chassaigne@assemblee-nationale.fr
Jean-Luc Warsmann,LIOT,Lois,Membre,jean-luc.warsmann@assemblee-nationale.fr
Nicolas Dupont-Aignan,NI,Affaires étrangères,Membre,nicolas.dupont-aignan@assemblee-nationale.fr
Marie-Christine Dalloz,LR,Finances de l’économie générale et du contrôle budgétaire,Secrétaire,marie-christine.dalloz@assemblee-nationale.fr
Dino Cinieri,LR,Affaires économiques,Membre,dino.cinieri@assemblee-nationale.fr
Marietta Karamanli,SOC,Lois,Membre,marietta.karamanli@assemblee-nationale.fr
